Feature,Importance
vote_count,0.92686576
budget,0.07310795
genres,2.5931942e-05
release_date_dayofweek,2.9035652e-07
release_date_month,1.0678486e-07
popularity_to_votes,1.962913e-09
popularity,6.2226596e-10
vote_average_vote_count,3.434445e-10
id,3.0137123e-10
id_budget,5.4359822e-11
original_language_es,1.1979826e-11
budget_popularity,9.2100685e-12
id_popularity,3.336955e-12
popularity_vote_count,2.768636e-12
is_summer_release,2.4392359e-12
id_vote_average,2.3015318e-12
id_vote_count,9.237426e-13
release_date_day,7.949641e-13
budget_vote_count,7.4439337e-13
popularity_vote_average,6.9831657e-13
title,1.7134011e-13
log_budget,0.0
original_language_ja,0.0
original_language_fr,0.0
runtime_quarter,0.0
runtime_day,0.0
runtime_dayofweek,0.0
runtime_month,0.0
runtime_year,0.0
vote_average,0.0
release_date_quarter,0.0
release_date_year,0.0
weighted_rating,0.0
is_holiday_release,0.0
is_weekend_release,0.0
log_popularity,0.0
budget_vote_average,0.0
